"Date","Price","Open","High","Low","Vol.","Change %"
"09/25/2020","482.88","474.39","484.87","468.03","3.77M","2.07%"
"09/24/2020","473.08","470.53","477.00","467.82","3.73M","0.52%"
"09/23/2020","470.61","491.04","491.04","469.00","3.73M","-4.19%"
"09/22/2020","491.17","489.01","491.82","479.26","3.48M","0.78%"
"09/21/2020","487.35","467.69","487.77","466.32","5.46M","3.70%"
"09/18/2020","469.96","472.51","479.40","458.60","6.72M","-0.05%"
"09/17/2020","470.20","475.16","478.40","463.27","5.38M","-2.82%"
"09/16/2020","483.86","499.99","504.66","483.31","4.40M","-2.45%"
"09/15/2020","495.99","484.00","497.47","481.63","5.34M","4.14%"
"09/14/2020","476.26","480.62","488.99","471.30","7.36M","-1.20%"
"09/11/2020","482.03","486.48","493.73","476.81","5.04M","0.28%"
"09/10/2020","480.67","503.35","506.29","478.84","6.24M","-3.90%"
"09/09/2020","500.19","519.21","520.00","492.57","6.85M","-1.35%"
"09/08/2020","507.02","498.40","522.00","495.00","5.57M","-1.75%"
"09/04/2020","516.05","520.18","527.36","485.98","8.27M","-1.84%"
"09/03/2020","525.75","545.00","554.00","521.32","9.07M","-4.90%"
"09/02/2020","552.84","553.78","556.50","537.37","5.89M","-0.67%"
"09/01/2020","556.55","532.60","557.39","532.45","9.58M","5.10%"
"08/31/2020","529.56","521.16","531.99","517.58","4.94M","1.08%"
"08/28/2020","523.89","532.00","539.00","522.00","4.42M","-0.45%"
"08/27/2020","526.27","537.78","541.00","521.25","9.06M","-3.88%"
"08/26/2020","547.53","492.50","549.04","492.08","20.37M","11.61%"
"08/25/2020","490.58","488.19","492.47","485.09","5.73M","0.36%"
"08/24/2020","488.81","495.44","501.00","483.16","4.76M","-0.71%"
"08/21/2020","492.31","496.46","498.13","490.00","3.92M","-1.12%"
"08/20/2020","497.90","484.69","498.94","483.89","5.13M","2.76%"
"08/19/2020","484.53","493.93","494.50","483.50","3.16M","-1.49%"
"08/18/2020","491.87","484.35","495.30","482.80","3.51M","1.97%"
"08/17/2020","482.35","484.19","486.24","479.10","2.42M","-0.07%"
"08/14/2020","482.68","482.82","488.33","480.21","2.94M","0.28%"
"08/13/2020","481.33","478.40","484.45","476.45","3.01M","1.23%"
"08/12/2020","475.47","471.34","482.49","470.18","5.44M","1.83%"
"08/11/2020","466.93","479.75","480.92","466.55","7.33M","-3.40%"
"08/10/2020","483.38","493.35","497.46","478.63","4.69M","-2.29%"
"08/07/2020","494.73","505.45","508.29","486.68","5.91M","-2.82%"
"08/06/2020","509.08","504.11","510.82","498.70","3.73M","1.39%"
"08/05/2020","502.11","508.68","510.10","501.20","4.31M","-1.48%"
"08/04/2020","509.64","498.65","510.44","498.65","5.61M","2.21%"
"08/03/2020","498.62","490.86","503.09","490.23","5.88M","1.99%"
"07/31/2020","488.88","488.29","494.80","484.50","5.92M","0.63%"
"07/30/2020","485.80","480.71","488.35","477.51","6.61M","0.27%"
"07/29/2020","484.48","492.25","494.92","484.13","6.61M","-0.82%"
"07/28/2020","488.51","496.02","497.79","487.76","5.99M","-1.44%"
"07/27/2020","495.65","484.51","496.92","482.31","7.86M","3.16%"
"07/24/2020","480.45","468.77","487.17","467.54","7.75M","0.60%"
"07/23/2020","477.58","491.13","491.90","472.02","7.72M","-2.50%"
"07/22/2020","489.82","492.19","497.20","487.20","6.95M","-0.06%"
"07/21/2020","490.10","506.00","506.22","488.61","9.13M","-2.45%"
"07/20/2020","502.41","489.14","504.50","484.20","11.94M","1.91%"
"07/17/2020","492.99","494.87","503.59","484.14","24.99M","-6.52%"
"07/16/2020","527.39","526.48","535.54","504.36","24.50M","0.79%"
"07/15/2020","523.26","516.30","529.00","510.18","10.07M","-0.31%"
"07/14/2020","524.88","517.08","525.50","490.49","15.08M","-0.12%"
"07/13/2020","525.50","567.98","575.37","520.96","18.40M","-4.23%"
"07/10/2020","548.73","519.73","555.88","511.28","21.61M","8.07%"
"07/09/2020","507.76","508.40","510.00","495.78","5.84M","0.99%"
"07/08/2020","502.78","498.58","505.10","493.81","5.69M","1.95%"
"07/07/2020","493.16","497.31","504.82","490.83","5.67M","-0.13%"
"07/06/2020","493.81","480.77","499.50","479.80","7.84M","3.55%"
"07/02/2020","476.89","485.64","492.28","475.53","6.35M","-1.80%"
"07/01/2020","485.64","454.00","488.23","454.00","9.71M","6.72%"
"06/30/2020","455.04","450.02","457.59","447.00","4.20M","1.74%"
"06/29/2020","447.24","445.23","447.67","432.14","4.84M","0.87%"
"06/26/2020","443.40","466.39","468.03","442.24","6.80M","-4.83%"
"06/25/2020","465.91","458.86","467.01","454.00","4.13M","1.76%"
"06/24/2020","457.85","468.54","472.36","454.00","4.83M","-1.80%"
"06/23/2020","466.26","466.50","474.01","464.50","5.95M","-0.38%"
"06/22/2020","468.04","455.01","468.59","454.21","6.27M","3.16%"
"06/19/2020","453.72","449.12","453.97","445.60","5.93M","0.86%"
"06/18/2020","449.87","448.73","452.76","442.80","4.28M","0.47%"
"06/17/2020","447.77","441.82","450.46","439.22","6.53M","2.67%"
"06/16/2020","436.13","425.76","437.96","425.18","5.51M","2.50%"
"06/15/2020","425.50","421.40","426.49","415.42","4.47M","1.78%"
"06/12/2020","418.07","429.00","434.06","412.45","6.46M","-1.76%"
"06/11/2020","425.56","428.20","445.57","424.16","7.46M","-2.05%"
"06/10/2020","434.48","436.00","439.69","430.55","4.90M","0.10%"
"06/09/2020","434.05","421.65","434.73","420.31","6.80M","3.47%"
"06/08/2020","419.49","416.00","420.80","406.50","5.85M","-0.03%"
"06/05/2020","419.60","407.29","420.24","404.25","5.10M","1.27%"
"06/04/2020","414.33","422.39","428.71","410.03","5.41M","-1.81%"
"06/03/2020","421.97","426.95","427.10","418.05","4.32M","-1.25%"
"06/02/2020","427.31","425.87","427.59","419.46","3.49M","0.33%"
"06/01/2020","425.92","418.83","426.72","415.98","3.75M","1.47%"
"05/29/2020","419.73","417.46","420.30","411.85","5.27M","1.52%"
"05/28/2020","413.44","417.24","422.37","411.50","5.66M","-1.54%"
"05/27/2020","419.89","410.38","420.02","397.86","10.45M","1.23%"
"05/26/2020","414.77","427.77","428.50","413.14","7.88M","-3.39%"
"05/22/2020","429.32","437.00","439.09","427.18","5.42M","-1.59%"
"05/21/2020","436.25","448.56","448.96","430.25","9.12M","-2.55%"
"05/20/2020","447.67","454.25","455.81","444.00","5.61M","-0.75%"
"05/19/2020","451.04","453.40","458.97","450.46","4.81M","-0.34%"
"05/18/2020","452.58","451.16","456.36","443.35","7.78M","-0.35%"
"05/15/2020","454.19","440.70","455.00","437.51","7.24M","2.77%"
"05/14/2020","441.95","444.90","452.38","432.82","9.01M","0.84%"
"05/13/2020","438.27","435.69","447.00","427.27","7.01M","1.49%"
"05/12/2020","431.82","442.00","444.17","431.36","4.60M","-1.97%"
"05/11/2020","440.52","436.33","444.89","435.56","5.49M","1.14%"
"05/08/2020","435.55","434.14","442.00","433.64","5.05M","-0.22%"
"05/07/2020","436.53","436.89","438.88","430.66","5.65M","0.52%"
"05/06/2020","434.26","429.30","439.77","426.39","6.66M","2.26%"
"05/05/2020","424.68","427.55","431.00","421.56","6.29M","-0.81%"
"05/04/2020","428.15","417.78","428.54","414.87","7.80M","3.10%"
"05/01/2020","415.27","415.10","427.97","411.73","8.30M","-1.09%"
