"Date","Price","Open","High","Low","Vol.","Change %"
"10/27/2021","489.11","483.85","491.50","483.56","1.74M","0.74%"
"10/26/2021","485.53","482.13","488.25","481.23","2.38M","-0.93%"
"10/25/2021","490.10","481.99","492.21","479.50","1.90M","1.68%"
"10/22/2021","481.99","478.99","485.03","478.57","1.71M","1.00%"
"10/21/2021","477.23","469.77","477.65","469.08","1.42M","1.59%"
"10/20/2021","469.77","468.52","472.50","467.84","1.35M","0.58%"
"10/19/2021","467.08","463.00","467.16","460.31","1.37M","1.11%"
"10/18/2021","461.95","449.61","462.35","448.50","2.14M","2.11%"
"10/15/2021","452.39","453.89","453.94","449.18","1.49M","0.38%"
"10/14/2021","450.66","447.11","451.70","446.50","1.48M","1.20%"
"10/13/2021","445.30","448.54","450.51","444.07","1.62M","-0.35%"
"10/12/2021","446.87","450.15","452.85","445.75","1.38M","-0.63%"
"10/11/2021","449.70","450.04","453.69","449.54","1.01M","-0.48%"
"10/08/2021","451.85","455.44","455.75","450.00","1.55M","-0.23%"
"10/07/2021","452.87","456.47","459.59","452.07","1.97M","0.79%"
"10/06/2021","449.34","443.93","449.78","442.38","1.33M","0.69%"
"10/05/2021","446.24","439.58","449.11","439.25","1.81M","1.39%"
"10/04/2021","440.14","448.34","449.35","436.17","2.26M","-1.83%"
"10/01/2021","448.33","449.73","451.08","440.76","1.86M","-0.23%"
"09/30/2021","449.35","453.62","455.36","449.30","1.84M","-0.54%"
"09/29/2021","451.79","449.87","456.00","448.90","1.92M","0.99%"
"09/28/2021","447.35","457.14","457.50","445.67","2.63M","-2.87%"
"09/27/2021","460.56","465.55","470.49","457.24","2.53M","-1.54%"
"09/24/2021","467.75","455.98","468.72","455.00","3.35M","3.31%"
"09/23/2021","452.78","452.30","455.55","451.10","2.06M","0.10%"
"09/22/2021","452.33","454.70","455.35","449.84","1.38M","0.05%"
"09/21/2021","452.11","451.14","456.84","450.16","1.53M","0.22%"
"09/20/2021","451.14","456.63","460.95","446.62","2.60M","-1.82%"
"09/17/2021","459.51","461.62","462.82","457.02","3.41M","-0.82%"
"09/16/2021","463.31","460.79","463.77","456.57","1.58M","0.56%"
"09/15/2021","460.73","458.24","462.25","456.14","1.77M","0.51%"
"09/14/2021","458.41","460.95","462.20","457.42","1.38M","-0.27%"
"09/13/2021","459.66","467.06","468.23","458.20","1.68M","-1.18%"
"09/10/2021","465.16","467.17","468.40","463.20","1.32M","-0.17%"
"09/09/2021","465.94","467.34","469.77","465.24","1.40M","0.05%"
"09/08/2021","465.70","459.11","465.83","458.08","1.37M","1.33%"
"09/07/2021","459.60","462.50","463.20","457.63","1.46M","-0.64%"
"09/03/2021","462.55","459.00","463.60","459.00","1.30M","0.34%"
"09/02/2021","460.97","459.42","461.44","458.39","1.46M","0.97%"
"09/01/2021","456.52","455.48","456.68","451.85","1.33M","0.23%"
"08/31/2021","455.49","456.14","456.88","452.44","1.70M","-0.10%"
"08/30/2021","455.93","451.04","456.59","450.44","1.22M","1.24%"
"08/27/2021","450.34","449.31","451.62","446.80","1.31M","0.23%"
"08/26/2021","449.31","451.23","452.48","446.70","1.42M","-0.43%"
"08/25/2021","451.23","450.83","452.82","447.32","1.52M","-0.12%"
"08/24/2021","451.79","455.25","455.39","450.30","1.54M","-0.69%"
"08/23/2021","454.93","457.27","459.06","454.59","1.84M","-0.88%"
